lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village,timestamp_apicall
47.2828357,8.8697479,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Breitenmatt,2024-09-24 23:02:11
47.2736486,8.8562662,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
47.3001847,8.8212979,Switzerland,Bezirk Hinwil,Hinwil,N/A,8349,Zurich,ZH,Hinwil,2024-09-24 23:02:11
47.2585925,7.4437102,Switzerland,Amtei Thal-Gäu,Welschenrohr-Gänsbrunnen,N/A,4716,Solothurn,SO,Welschenrohr-Gänsbrunnen,2024-09-24 23:02:11
47.2573848,7.3944437,Switzerland,Bernese Jura administrative district,Court,N/A,2738,Bern,BE,Court,2024-09-24 23:02:11
47.2841676,7.385936,Switzerland,Bernese Jura administrative district,Moutier,N/A,2740,Bern,BE,N/A,2024-09-24 23:02:11
47.289226,7.3930404,Switzerland,Bernese Jura administrative district,Belprahon,N/A,2740,Bern,BE,Belprahon,2024-09-24 23:02:11
47.2923335,7.4015379,Switzerland,Bernese Jura administrative district,Belprahon,Gressins dessous,2744,Bern,BE,Belprahon,2024-09-24 23:02:11
47.2974282,7.4120652,Switzerland,Bernese Jura administrative district,Belprahon,N/A,2744,Bern,BE,Belprahon,2024-09-24 23:02:11
47.3018145,7.4201357,Switzerland,Bernese Jura administrative district,Grandval,N/A,2745,Bern,BE,Grandval,2024-09-24 23:02:11
47.2954952,7.4551799,Switzerland,Bernese Jura administrative district,Corcelles (BE),La Côte au Boeuf,2747,Bern,BE,Corcelles (BE),2024-09-24 23:02:11
47.2795081,7.4549841,Switzerland,Bernese Jura administrative district,Crémines,N/A,2746,Bern,BE,Crémines,2024-09-24 23:02:11
47.2692217,7.4606337,Switzerland,Bernese Jura administrative district,Crémines,N/A,2746,Bern,BE,Crémines,2024-09-24 23:02:11
47.2647082,7.4663391,Switzerland,Amtei Thal-Gäu,Welschenrohr-Gänsbrunnen,N/A,4716,Solothurn,SO,Gänsbrunnen,2024-09-24 23:02:11
47.3243165,8.747488,Switzerland,Bezirk Uster,Uster,N/A,8614,Zurich,ZH,Sulzbach,2024-09-24 23:02:11
46.8276562,9.3566913,Switzerland,Imboden,Trin,N/A,7014,Grisons,GR,Trin Mulin,2024-09-24 23:02:11
46.8148423,9.3304239,Switzerland,Imboden,Trin,N/A,7016,Grisons,GR,Trin,2024-09-24 23:02:11
46.8071233,9.3196379,Switzerland,Surselva,Safiental,N/A,7104,Grisons,GR,Versam,2024-09-24 23:02:11
46.7992609,9.2926408,Switzerland,Surselva,Sagogn,N/A,7152,Grisons,GR,Sagogn,2024-09-24 23:02:11
47.2733557,9.4699772,Switzerland,N/A,Schwende-Rüte,N/A,9058,Appenzell Innerrhoden,AI,Rüte,2024-09-24 23:02:11
47.2847553,9.4866094,Switzerland,Wahlkreis Rheintal,Altstätten,N/A,9464,St. Gallen,N/A,Lienz,2024-09-24 23:02:11
47.2873653,9.4882582,Switzerland,Wahlkreis Rheintal,Altstätten,N/A,9464,St. Gallen,N/A,Lienz,2024-09-24 23:02:11
47.3004458,9.4947814,Switzerland,Wahlkreis Rheintal,Altstätten,N/A,9058,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.3076614,9.4976513,Switzerland,Wahlkreis Rheintal,Altstätten,N/A,9464,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.3116644,9.4949743,Switzerland,N/A,Schwende-Rüte,N/A,9058,Appenzell Innerrhoden,AI,Rüte,2024-09-24 23:02:11
47.3208381,9.4905903,Switzerland,N/A,Schwende-Rüte,N/A,9453,Appenzell Innerrhoden,AI,Rüte,2024-09-24 23:02:11
