lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village
47.7451415,8.5549567,Switzerland,N/A,Schaffhausen,N/A,8228,Schaffhausen,SH,N/A
47.4467820,9.5359416,Switzerland,Vorderland,Heiden,N/A,9410,Appenzell Ausserrhoden,AR,Heiden
47.7513015,8.5318011,Switzerland,N/A,Beggingen,N/A,8228,Schaffhausen,SH,Beggingen
46.0241947,7.3322037,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,Fionnay
46.0152175,7.3382200,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,N/A
46.0355668,7.3472479,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,N/A
45.9860690,7.3444192,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,N/A
47.7499059,8.5006596,Switzerland,N/A,Schleitheim,N/A,8226,Schaffhausen,SH,Schleitheim
47.7515643,8.5228633,Switzerland,N/A,Beggingen,N/A,8228,Schaffhausen,SH,Beggingen
47.7512234,8.5186763,Switzerland,N/A,Beggingen,N/A,8228,Schaffhausen,SH,Beggingen
46.0122299,7.2761073,Switzerland,Entremont,Val de Bagnes,La Maye,1934,Wallis,VS,N/A
45.9129015,7.3503425,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,N/A
45.9984847,7.2919765,Switzerland,Entremont,Val de Bagnes,Kin,1934,Wallis,VS,N/A
46.0733350,7.3150976,Switzerland,Entremont,Val de Bagnes,N/A,1934,Wallis,VS,N/A
46.0797055,7.2943504,Switzerland,Conthey,Nendaz,N/A,1997,Wallis,VS,Nendaz
46.0974082,7.2331221,Switzerland,Entremont,Val de Bagnes,N/A,1936,Wallis,VS,Verbier
47.7479615,8.4726923,Switzerland,N/A,Schleitheim,N/A,8226,Schaffhausen,SH,Schleitheim
47.7407716,8.4896303,Switzerland,N/A,Schleitheim,N/A,8226,Schaffhausen,SH,Schleitheim
47.7197471,8.5016832,Switzerland,Bezirk Oberklettgau,Gächlingen,N/A,8214,Schaffhausen,SH,Gächlingen
47.3497727,8.7947176,Switzerland,Bezirk Pfäffikon,Pfäffikon,N/A,8331,Zurich,ZH,Auslikon
47.3607119,8.7871651,Switzerland,Bezirk Pfäffikon,Pfäffikon,N/A,8330,Zurich,ZH,Pfäffikon
47.3415416,8.7831444,Switzerland,Bezirk Hinwil,Wetzikon (ZH),N/A,8621,Zurich,ZH,N/A
47.3605738,8.7743840,Switzerland,Bezirk Pfäffikon,Pfäffikon,N/A,8300,Zurich,ZH,Pfäffikon
47.3658880,8.7830606,Switzerland,Bezirk Pfäffikon,Pfäffikon,N/A,8330,Zurich,ZH,Pfäffikon
46.5862787,9.7782823,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.5895931,9.7699691,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.5857498,9.7758850,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.5875439,9.7759230,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.5889747,9.7763277,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.5905183,9.7697159,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Preda
46.6123944,9.7569893,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Bergün/Bravuogn
46.6102897,9.7550967,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Bergün/Bravuogn
46.6405926,9.7355304,Switzerland,Albula,Bergün Filisur,N/A,7484,Grisons,GR,Bergün/Bravuogn
46.6520763,9.7181888,Switzerland,Albula,Bergün Filisur,N/A,7477,Grisons,GR,Stugl
46.6300432,9.7464553,Switzerland,Albula,Bergün Filisur,N/A,7482,Grisons,GR,Bergün/Bravuogn
46.6741352,9.6851879,Switzerland,Albula,Bergün Filisur,N/A,7477,Grisons,GR,Filisur
46.6641047,9.6993854,Switzerland,Albula,Bergün Filisur,N/A,7477,Grisons,GR,Filisur
47.4794105,8.1153498,Switzerland,Bezirk Brugg,Bözberg,N/A,5225,Aargau,AG,Gallenkirch
47.1455210,8.8884910,Switzerland,March,Vorderthal,N/A,8854,Schwyz,SZ,Vorderthal
47.1030742,8.9048984,Switzerland,March,Innerthal,N/A,8858,Schwyz,SZ,Innerthal
47.0976170,8.9093074,Switzerland,March,Innerthal,N/A,8858,Schwyz,SZ,Innerthal
47.0859755,8.9226696,Switzerland,March,Innerthal,Rüti,8858,Schwyz,SZ,Innerthal
47.1219879,8.8996200,Switzerland,March,Vorderthal,N/A,8857,Schwyz,SZ,Vorderthal
47.0676184,8.9125102,Switzerland,March,Innerthal,N/A,8858,Schwyz,SZ,Innerthal
47.1061395,8.9121473,Switzerland,March,Innerthal,N/A,8858,Schwyz,SZ,Innerthal
47.1269727,8.8932107,Switzerland,March,Vorderthal,N/A,8857,Schwyz,SZ,Vorderthal
47.0194178,6.9372184,Switzerland,N/A,Neuchâtel,N/A,2063,Neuchâtel,NE,N/A
47.0054592,6.9213685,Switzerland,N/A,Neuchâtel,N/A,2042,Neuchâtel,NE,Valangin
46.5230949,8.6719468,Switzerland,Distretto di Leventina,Quinto,N/A,6776,Ticino,TI,Piotta
47.0656735,6.9889191,Switzerland,N/A,Enges,N/A,2057,Neuchâtel,NE,Enges
46.4581951,8.8369361,Switzerland,Distretto di Leventina,Faido,N/A,6746,Ticino,TI,Lavorgo
47.1207319,8.8475228,Switzerland,March,Vorderthal,N/A,8857,Schwyz,SZ,Vorderthal
47.1177280,8.8275296,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,N/A
47.2603761,7.5234461,Switzerland,Amtei Thal-Gäu,Welschenrohr-Gänsbrunnen,N/A,4716,Solothurn,SO,Welschenrohr-Gänsbrunnen
47.2590515,7.5240096,Switzerland,Amtei Thal-Gäu,Welschenrohr-Gänsbrunnen,N/A,4716,Solothurn,SO,Welschenrohr-Gänsbrunnen
47.2539142,7.4998475,Switzerland,Amtei Thal-Gäu,Welschenrohr-Gänsbrunnen,N/A,4716,Solothurn,SO,Welschenrohr-Gänsbrunnen
47.2646750,7.5402443,Switzerland,Amtei Solothurn-Lebern,Balm bei Günsberg,N/A,4524,Solothurn,SO,Balm bei Günsberg
47.2450135,7.4716764,Switzerland,Amtei Solothurn-Lebern,Oberdorf (SO),N/A,4514,Solothurn,SO,Oberdorf (SO)
47.2420523,7.4474961,Switzerland,Amtei Solothurn-Lebern,Selzach,N/A,2545,Solothurn,SO,Selzach
47.2193291,7.3832501,Switzerland,Amtei Solothurn-Lebern,Grenchen,N/A,2540,Solothurn,SO,N/A
47.2394801,7.4335461,Switzerland,Amtei Solothurn-Lebern,Selzach,N/A,2545,Solothurn,SO,Selzach
47.2158143,7.3759064,Switzerland,Amtei Solothurn-Lebern,Grenchen,N/A,2540,Solothurn,SO,N/A
47.2253590,7.3883773,Switzerland,Amtei Solothurn-Lebern,Grenchen,N/A,2540,Solothurn,SO,N/A
47.2330754,7.4085374,Switzerland,Amtei Solothurn-Lebern,Bettlach,N/A,2544,Solothurn,SO,Bettlach
47.2107984,7.3661097,Switzerland,Amtei Solothurn-Lebern,Grenchen,N/A,2540,Solothurn,SO,N/A
47.1949565,7.3063561,Switzerland,Bernese Jura administrative district,Sauge,N/A,2536,Bern,BE,Plagne
47.2064353,7.3447791,Switzerland,Amtei Solothurn-Lebern,Grenchen,N/A,2540,Solothurn,SO,N/A
47.1680272,7.2556744,Switzerland,Bernese Jura administrative district,Sauge,N/A,2535,Bern,BE,Vauffelin
47.1808745,7.2777676,Switzerland,Bernese Jura administrative district,Sauge,N/A,2536,Bern,BE,Plagne
47.1713336,7.2640288,Switzerland,Bernese Jura administrative district,Sauge,N/A,2535,Bern,BE,Vauffelin
47.1544529,8.8217867,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,N/A
47.1665586,7.1898220,Switzerland,Bernese Jura administrative district,Orvin,N/A,2605,Bern,BE,Orvin
47.1701921,7.2402119,Switzerland,Bernese Jura administrative district,Péry-La Heutte,N/A,2535,Bern,BE,Péry
47.1583484,7.1474171,Switzerland,Bernese Jura administrative district,Corgémont,N/A,2606,Bern,BE,Corgémont
47.1121456,7.0168041,Switzerland,Bernese Jura administrative district,Lignières,N/A,2523,Neuchâtel,NE,Lignières
47.1393423,7.0840362,Switzerland,Bernese Jura administrative district,Nods,N/A,2518,Bern,BE,Nods
